"","long","lat","city"
"1",113.2749675,22.99427871,"广州南"
"2",114.1231236,22.57363148,"深圳北"
"3",104.1199083,30.69755719,"成都东"
"4",106.5567889,29.61502393,"重庆北"
"5",116.3276942,39.90347316,"北京西"
"8",102.727788,25.023328,"昆明"
"9",116.4336486,39.90984037,"北京"
"10",117.212374,39.142145,"天津"
"12",120.2193642,30.29749659,"杭州东"
"14",116.3861029,39.87107451,"北京南"
"15",114.124405,22.538206,"深圳"
"16",113.6802721,22.86720304,"虎门"
"18",121.3263205,31.20045605,"上海虹桥"
"22",125.330782,43.918834,"长春"
"23",113.0701475,28.15284434,"长沙南"
"24",114.4969521,38.04857818,"石家庄"
"25",104.080189,30.701485,"成都"
"26",126.5848557,43.86565486,"吉林"
"29",114.2619258,30.62408841,"汉口"
"30",120.6173997,31.33510589,"苏州"
"36",108.4134386,30.71005418,"万州北"
"37",105.091238,29.615199,"内江北"
"39",103.798873,25.532557,"曲靖"
"41",113.5568654,22.22139652,"珠海"
"42",106.70959,26.56296765,"贵阳"
"43",113.2141612,29.37209447,"岳阳东"
"46",104.7238149,31.46550022,"绵阳"
"48",121.4620958,31.25607113,"上海"
"49",109.499415,18.302055,"三亚"
"50",113.2642486,23.15432789,"广州"
"51",108.9455252,34.38080189,"西安北"
"53",113.276382,22.653592,"小榄"
"54",109.8432544,40.6113773,"包头"
"56",109.395356,24.31337958,"柳州"
"58",112.6172866,37.79746074,"太原南"
"60",113.330283,23.155301,"广州东"
"61",114.4989718,22.79104927,"惠州南"
"64",126.6393456,45.76753878,"哈尔滨"
"65",111.672382,40.836017,"呼和浩特"
"66",109.9998426,27.51849119,"怀化南"
"67",109.4877557,36.56326299,"延安"
"69",107.4597362,31.20424759,"达州"
"73",113.463092,30.43352318,"天门南"
"77",120.5455881,30.1052302,"绍兴北"
"78",119.3267768,26.1194359,"福州"
"81",112.2195697,30.37678289,"荆州"
"82",112.716106,26.90251817,"衡阳东"
"83",121.5435121,29.86835788,"宁波"
"85",108.4207618,22.84667321,"南宁东"
