,origin,destination
1,广州南,深圳北
2,深圳北,广州南
3,成都东,重庆北
4,重庆北,成都东
5,北京西,太原南
6,广州南,长沙南
7,广州南,南宁东
8,昆明,曲靖
9,北京,哈尔滨西
10,天津,北京南
11,北京西,石家庄
12,杭州东,上海虹桥
13,成都东,达州
14,北京南,天津
15,深圳,广州东
16,虎门,广州南
17,成都东,内江北
18,上海虹桥,汉口
19,上海虹桥,杭州东
20,重庆北,万州北
21,昆明,宣威
22,长春,吉林
23,长沙南,岳阳东
24,石家庄,北京西
25,成都,绵阳
26,吉林,长春
27,成都东,遂宁
28,长沙南,衡阳东
29,汉口,荆州
30,苏州,上海
31,广州南,贵港
32,北京,长春
33,长沙南,怀化南
34,广州南,郴州西
35,深圳北,虎门
36,万州北,重庆北
37,内江北,成都东
38,汉口,宜昌东
39,曲靖,昆明
40,长沙南,郴州西
41,珠海,广州南
42,贵阳,六盘水
43,岳阳东,长沙南
44,上海虹桥,南京南
45,重庆北,渠县
46,绵阳,成都
47,深圳北,长沙南
48,上海,苏州
49,三亚,海口东
50,广州,衡阳
51,西安北,宝鸡南
52,深圳北,潮汕
53,小榄,广州南
54,包头,呼和浩特
55,上海虹桥,长沙南
56,柳州,南宁东
57,西安北,延安
58,太原南,临汾西
59,汉口,天门南
60,广州东,深圳
61,惠州南,深圳北
62,重庆北,丰都
63,杭州东,义乌
64,哈尔滨,肇东
65,呼和浩特,包头
66,怀化南,长沙南
67,延安,西安北
68,北京西,郑州东
69,达州,成都东
70,广州南,珠海
71,北京,沈阳北
72,成都东,绵阳
73,天门南,汉口
74,广州东,武昌
75,广州南,衡阳东
76,成都,达州
77,绍兴北,杭州东
78,福州,南平北
79,成都东,资中北
80,苏州,上海虹桥
81,荆州,汉口
82,衡阳东,长沙南
83,宁波,杭州东
84,深圳北,厦门北
85,南宁东,柳州
86,长沙,岳阳
87,贵阳,六枝
88,长沙南,武汉
89,海口东,三亚
90,广州南,武汉
91,义乌,杭州东
92,广州南,平南南
93,绵阳,成都东
94,广州南,贵阳北
95,广州南,虎门
96,南京南,合肥南
97,南充,成都东
98,杭州,阜阳
99,广州南,韶关
100,南昌,九江
101,遂宁,成都东
102,合肥,阜阳
103,北京西,邯郸
104,中山北,广州南
105,武汉,长沙南
106,贵阳,安顺
107,哈尔滨,齐齐哈尔
108,北京西,郑州
109,廊坊,北京南
110,重庆北,达州
111,西安北,大荔
112,深圳北,普宁
113,成都东,南充
114,郴州西,长沙南
115,南宁,柳州
116,哈尔滨,大庆东
117,虎门,深圳北
118,厦门北,龙岩
119,古镇,广州南
120,广州东,衡阳
121,南京南,上海虹桥
122,重庆北,石柱县
123,北京西,邯郸东
124,北京西,西安
125,石家庄,邯郸
126,杭州东,宁波
127,海口东,万宁
128,长沙南,娄底南
129,蛟河西,吉林
130,成都东,资阳北
131,太原南,北京西
132,北京,哈尔滨
133,宝鸡南,西安北
134,郑州,安阳
135,广州,常德
136,石家庄,邢台
137,肇东,哈尔滨
138,昆山南,上海虹桥
139,呼和浩特,集宁南
140,上海虹桥,南昌西
141,蒙自,昆明
142,赣州,瑞金
143,西安,天水
144,广州南,桂林北
145,大庆东,哈尔滨
146,泉州,福州
147,重庆北,广安
148,北京南,廊坊
149,南宁东,广州南
150,郑州,洛阳
151,广州南,小榄
152,长春,德惠
153,南京南,徐州东
